Open time,Open,High,Low,Close,Volume,Num_Trades,Taker_Base_Vol
2025-11-06 05:00:00,104030.8,104030.8,103088.0,103143.57,755.30818,172800.0,289.19095
2025-11-06 06:00:00,103143.57,103591.47,103006.17,103318.75,555.63033,168897.0,294.13001
2025-11-06 07:00:00,103318.76,103561.94,102910.66,103185.48,988.58677,228244.0,470.80231
2025-11-06 08:00:00,103184.75,103440.0,102971.99,103200.26,647.13062,169514.0,310.65808
2025-11-06 09:00:00,103200.26,103261.93,102810.0,102810.01,536.64925,168660.0,252.39466
2025-11-06 10:00:00,102810.01,103288.59,102651.63,103122.54,932.94397,146842.0,381.88738
2025-11-06 11:00:00,103122.54,103300.01,102743.82,103227.58,540.52931,116103.0,273.33391
2025-11-06 12:00:00,103227.59,103333.18,102383.64,102552.38,1051.14565,191008.0,506.74309
2025-11-06 13:00:00,102552.39,103626.46,102552.38,103319.71,941.18298,245056.0,474.64674
2025-11-06 14:00:00,103319.71,103579.68,102044.63,102125.0,1661.00797,409701.0,762.91799
2025-11-06 15:00:00,102124.99,102932.94,101630.0,102014.48,3027.20967,578086.0,1333.43765
2025-11-06 16:00:00,102014.49,102393.51,100300.95,100867.2,3035.72721,502070.0,1363.65935
2025-11-06 17:00:00,100867.19,101946.31,100770.57,101804.01,1310.77048,423293.0,662.44406
2025-11-06 18:00:00,101804.02,102338.0,100916.74,101722.13,956.16247,305594.0,478.94707
2025-11-06 19:00:00,101722.12,101999.44,101202.73,101388.81,756.60374,255989.0,367.82673
2025-11-06 20:00:00,101388.82,101643.28,100638.55,100914.11,812.36283,272242.0,370.48924
2025-11-06 21:00:00,100914.11,101220.9,100541.17,101117.17,938.29195,198808.0,437.93414
2025-11-06 22:00:00,101117.17,101480.0,101009.7,101415.05,639.89634,137810.0,335.63089
2025-11-06 23:00:00,101415.05,101538.0,101132.6,101346.04,1274.34706,161962.0,469.41204
2025-11-07 00:00:00,101346.04,101640.0,100749.94,101479.78,823.54705,265377.0,403.93762
2025-11-07 01:00:00,101479.79,101894.83,100905.1,101538.96,1095.04627,285086.0,582.41591
2025-11-07 02:00:00,101538.96,101928.99,101242.79,101905.11,779.48744,192983.0,426.1887
2025-11-07 03:00:00,101905.12,102500.0,101876.03,101916.29,1267.53296,200037.0,716.33328
2025-11-07 04:00:00,101916.3,102100.25,101582.92,102027.19,798.08441,134097.0,429.77761
2025-11-07 05:00:00,102027.2,102527.0,102024.75,102447.47,701.21696,148391.0,376.66428
2025-11-07 06:00:00,102447.48,102496.0,101819.1,101819.1,469.88373,100898.0,164.75868
2025-11-07 07:00:00,101819.11,102010.0,101638.43,102010.0,1093.42589,126376.0,603.31633
2025-11-07 08:00:00,102009.99,102050.0,101438.39,101496.18,817.45963,139705.0,406.68259
2025-11-07 09:00:00,101496.18,101512.51,100775.65,101013.66,1382.92001,208421.0,678.67279
2025-11-07 10:00:00,101013.67,101250.03,100564.43,100770.85,1279.53134,184343.0,499.3159
2025-11-07 11:00:00,100770.85,100796.86,99803.58,100411.89,3120.50016,386174.0,1294.42273
2025-11-07 12:00:00,100411.89,100625.0,99260.86,99638.28,1799.68202,350114.0,764.81179
2025-11-07 13:00:00,99638.29,100579.72,99455.1,100347.35,1635.46609,353380.0,899.19792
2025-11-07 14:00:00,100347.35,100922.78,99519.32,100806.08,2597.13075,505647.0,1222.09911
