Open time,Open,High,Low,Close,Volume,Num_Trades,Taker_Base_Vol
2025-11-06 05:00:00,960.21,960.66,948.91,949.58,10588.871,65081.0,4055.196
2025-11-06 06:00:00,949.58,955.25,949.54,949.85,7816.34,56763.0,3854.519
2025-11-06 07:00:00,949.85,954.6,946.02,951.41,8321.566,64293.0,4277.17
2025-11-06 08:00:00,951.4,957.29,948.5,952.56,8337.834,61028.0,3959.027
2025-11-06 09:00:00,952.56,957.06,950.07,952.43,6999.1,61412.0,3623.887
2025-11-06 10:00:00,952.44,958.4,949.43,955.25,11552.152,71961.0,5540.241
2025-11-06 11:00:00,955.26,957.22,951.5,955.29,9736.606,57043.0,3622.168
2025-11-06 12:00:00,955.29,955.6,943.21,943.22,13211.385,71364.0,5005.766
2025-11-06 13:00:00,943.21,951.0,942.32,946.39,16392.58,107756.0,7874.978
2025-11-06 14:00:00,946.4,949.05,934.88,936.9,24698.947,155634.0,9750.302
2025-11-06 15:00:00,936.9,943.87,927.63,933.71,36517.784,179565.0,17048.171
2025-11-06 16:00:00,933.71,938.51,925.07,932.17,24360.99,158897.0,10192.548
2025-11-06 17:00:00,932.18,945.99,931.91,944.45,16947.112,121189.0,9764.454
2025-11-06 18:00:00,944.45,955.45,938.8,951.03,18353.218,97398.0,9252.041
2025-11-06 19:00:00,951.02,953.15,944.1,948.1,9935.821,81424.0,4385.767
2025-11-06 20:00:00,948.09,951.34,944.26,948.02,8627.6,68773.0,4139.04
2025-11-06 21:00:00,948.02,954.02,945.37,953.15,6292.644,50455.0,3849.026
2025-11-06 22:00:00,953.15,954.46,948.16,952.19,6531.692,42981.0,3455.897
2025-11-06 23:00:00,952.19,952.19,944.6,950.4,8594.553,59916.0,4217.02
2025-11-07 00:00:00,950.4,954.43,944.9,953.3,14495.74,91217.0,6855.393
2025-11-07 01:00:00,953.31,955.8,945.09,952.79,16136.844,107860.0,8388.776
2025-11-07 02:00:00,952.8,958.9,948.96,958.6,12222.448,82153.0,6539.296
2025-11-07 03:00:00,958.6,976.33,957.67,967.09,33379.75,152981.0,18297.841
2025-11-07 04:00:00,967.09,968.58,957.81,961.34,14974.986,89473.0,6740.988
2025-11-07 05:00:00,961.34,968.82,961.25,968.75,12325.177,76703.0,6290.469
2025-11-07 06:00:00,968.75,970.3,964.52,964.81,9520.672,57362.0,4745.361
2025-11-07 07:00:00,964.82,971.44,963.41,970.06,12069.212,64957.0,5754.406
2025-11-07 08:00:00,970.05,970.85,964.02,966.98,9579.118,61599.0,5105.264
2025-11-07 09:00:00,966.99,966.99,954.0,956.96,12921.187,79062.0,4927.613
2025-11-07 10:00:00,956.95,959.96,948.03,950.36,11563.051,85138.0,5247.571
2025-11-07 11:00:00,950.35,950.37,937.0,942.57,25284.826,169461.0,11403.016
2025-11-07 12:00:00,942.57,944.54,929.29,933.11,19976.544,125118.0,8514.107
2025-11-07 13:00:00,933.11,939.74,931.47,936.08,17632.181,119453.0,9516.847
2025-11-07 14:00:00,936.07,945.32,925.7,943.97,30200.855,175856.0,15024.843
2025-11-07 15:00:00,944.0,949.78,938.34,944.73,26291.749,178629.0,13537.269
2025-11-07 16:00:00,944.73,955.13,939.9,951.68,24727.807,178341.0,12344.61
2025-11-07 17:00:00,951.68,970.41,948.08,968.65,31486.596,189950.0,17231.248
2025-11-07 18:00:00,968.65,981.76,966.6,980.71,31769.825,170468.0,16565.149
2025-11-07 19:00:00,980.71,985.49,977.38,981.81,20998.344,130082.0,11828.335
2025-11-07 20:00:00,981.8,988.55,974.27,987.87,20267.022,103176.0,11501.896
2025-11-07 21:00:00,987.87,994.49,987.43,994.49,13016.448,70908.0,6836.959
2025-11-07 22:00:00,994.48,995.6,987.76,990.6,12267.547,72855.0,5886.307
2025-11-07 23:00:00,990.61,992.75,985.8,991.15,19605.575,86959.0,10277.132
2025-11-08 00:00:00,991.14,995.88,980.45,980.63,21542.221,113223.0,11744.663
2025-11-08 01:00:00,980.63,993.5,980.05,990.92,13333.997,100267.0,7900.826
2025-11-08 02:00:00,990.92,1005.15,990.3,997.45,30114.455,142860.0,16132.982
2025-11-08 03:00:00,997.45,1007.41,995.48,996.72,21677.206,115302.0,11619.74
2025-11-08 04:00:00,996.71,1002.08,994.0,994.0,18286.955,97594.0,9651.17
2025-11-08 05:00:00,994.01,997.86,988.4,989.3,14704.973,93352.0,6106.366
2025-11-08 06:00:00,989.31,995.55,984.92,994.49,15522.456,89429.0,8850.012
2025-11-08 07:00:00,994.49,997.0,988.66,995.38,11669.686,77831.0,5915.484
2025-11-08 08:00:00,995.38,1003.15,995.1,999.77,18647.751,77058.0,11012.799
2025-11-08 09:00:00,999.77,1001.38,994.19,995.09,11004.913,62202.0,4822.174
2025-11-08 10:00:00,995.09,996.82,992.01,995.99,9020.028,47683.0,4315.071
2025-11-08 11:00:00,995.98,999.05,987.1,989.6,12658.789,72918.0,6639.477
2025-11-08 12:00:00,989.61,994.53,988.4,994.53,6787.311,58207.0,3983.897
2025-11-08 13:00:00,994.53,994.91,988.02,988.2,8555.079,64693.0,4157.768
2025-11-08 14:00:00,988.22,995.29,983.34,993.94,13645.448,89406.0,7009.803
2025-11-08 15:00:00,993.95,998.29,988.0,990.8,9281.261,71471.0,4479.904
2025-11-08 16:00:00,990.79,994.24,985.9,988.11,11979.088,86547.0,6308.775
2025-11-08 17:00:00,988.11,995.38,985.01,995.38,9028.596,52726.0,4709.798
2025-11-08 18:00:00,995.38,1004.8,991.88,1004.09,9191.053,57388.0,5244.774
2025-11-08 19:00:00,1004.09,1005.77,992.2,996.32,16523.011,79988.0,7995.636
2025-11-08 20:00:00,996.33,999.76,995.09,997.24,4332.03,34125.0,2218.44
2025-11-08 21:00:00,997.24,998.96,994.49,997.89,3607.159,30215.0,1818.624
2025-11-08 22:00:00,997.88,998.4,994.7,996.0,5507.906,24071.0,2724.925
2025-11-08 23:00:00,996.0,996.0,989.65,991.03,5084.317,27708.0,2117.145
2025-11-09 00:00:00,991.01,991.01,985.26,989.8,7520.467,32995.0,3763.324
2025-11-09 01:00:00,989.79,994.24,988.76,994.03,4142.472,29939.0,2365.449
2025-11-09 02:00:00,994.03,994.2,982.03,983.19,9729.543,49163.0,2983.231
